0.000000000,192.168.1.10,192.168.1.12,66,
0.000002000,192.168.1.10,192.168.1.12,66,
0.003858000,192.168.1.12,192.168.1.10,60,
0.004163000,192.168.1.10,192.168.1.12,60,
0.026482000,192.168.1.10,192.168.1.12,1514,
0.026485000,192.168.1.10,192.168.1.12,92,1493
0.026938000,192.168.1.12,192.168.1.10,60,
0.029538000,192.168.1.12,192.168.1.10,153,88\,1
0.031665000,192.168.1.10,192.168.1.12,577,1\,512
0.190998000,192.168.1.12,192.168.1.10,60,
0.333130000,192.168.1.12,192.168.1.10,946,155\,23\,525\,95\,69
0.341803000,192.168.1.10,192.168.1.12,128,69
0.342012000,192.168.1.10,192.168.1.12,257,198
0.342013000,192.168.1.10,192.168.1.12,181,122
0.344153000,192.168.1.12,192.168.1.10,60,
0.346388000,192.168.1.12,192.168.1.10,212,74\,74
0.351536000,192.168.1.12,192.168.1.10,503,444
0.351743000,192.168.1.12,192.168.1.10,83,24
0.352322000,192.168.1.10,192.168.1.12,60,
0.352796000,192.168.1.12,192.168.1.10,60,
0.353220000,192.168.1.10,192.168.1.12,60,
0.357412000,192.168.1.10,192.168.1.12,60,
0.357707000,192.168.1.12,192.168.1.10,60,
0.362763000,192.168.1.10,192.168.1.12,66,
0.362993000,192.168.1.12,192.168.1.10,60,
0.363884000,192.168.1.10,192.168.1.12,60,
0.381397000,192.168.1.10,192.168.1.12,1514,
0.381399000,192.168.1.10,192.168.1.12,92,1493
0.381909000,192.168.1.12,192.168.1.10,60,
0.384442000,192.168.1.12,192.168.1.10,153,88\,1
0.385686000,192.168.1.10,192.168.1.12,577,1\,512
0.490908000,192.168.1.12,192.168.1.10,60,
0.686797000,192.168.1.12,192.168.1.10,946,155\,23\,525\,95\,69
0.688588000,192.168.1.10,192.168.1.12,128,69
0.688786000,192.168.1.10,192.168.1.12,301,242
0.688787000,192.168.1.10,192.168.1.12,187,128
0.690939000,192.168.1.12,192.168.1.10,60,
0.693644000,192.168.1.12,192.168.1.10,212,74\,74
0.698254000,192.168.1.12,192.168.1.10,442,383
