0.000000000,192.168.1.10,192.168.1.12,66,
0.001198000,192.168.1.12,192.168.1.10,60,
0.001482000,192.168.1.10,192.168.1.12,60,
0.002332000,192.168.1.10,192.168.1.12,1514,
0.002334000,192.168.1.10,192.168.1.12,391,1792
0.003000000,192.168.1.10,192.168.1.12,66,
0.003740000,192.168.1.12,192.168.1.10,60,
0.003742000,192.168.1.12,192.168.1.10,60,
0.004060000,192.168.1.10,192.168.1.12,60,
0.004951000,192.168.1.10,192.168.1.12,1514,
0.004953000,192.168.1.10,192.168.1.12,391,1792
0.005856000,192.168.1.12,192.168.1.10,60,
0.010853000,192.168.1.12,192.168.1.10,153,88\,1
0.011604000,192.168.1.10,192.168.1.12,665,1\,600
0.013484000,192.168.1.12,192.168.1.10,153,88\,1
0.014161000,192.168.1.10,192.168.1.12,665,1\,600
0.203567000,192.168.1.12,192.168.1.10,60,
0.203568000,192.168.1.12,192.168.1.10,60,
0.314346000,192.168.1.12,192.168.1.10,931,155\,23\,525\,96\,53
0.315424000,192.168.1.10,192.168.1.12,78,19
0.315426000,192.168.1.10,192.168.1.12,60,
0.316703000,192.168.1.12,192.168.1.10,60,
0.614303000,192.168.1.12,192.168.1.10,932,155\,23\,525\,97\,53
0.614306000,192.168.1.12,192.168.1.10,60,
0.615475000,192.168.1.10,192.168.1.12,78,19
0.615684000,192.168.1.10,192.168.1.12,60,
0.616437000,192.168.1.10,192.168.1.12,66,
0.616893000,192.168.1.12,192.168.1.10,60,
0.617118000,192.168.1.12,192.168.1.10,60,
0.617119000,192.168.1.12,192.168.1.10,60,
0.617559000,192.168.1.10,192.168.1.12,60,
0.618432000,192.168.1.10,192.168.1.12,1514,
0.618434000,192.168.1.10,192.168.1.12,295,1696
0.619188000,192.168.1.12,192.168.1.10,60,
0.624078000,192.168.1.12,192.168.1.10,153,88\,1
0.625147000,192.168.1.10,192.168.1.12,569,1\,504
0.803263000,192.168.1.12,192.168.1.10,60,
0.926045000,192.168.1.12,192.168.1.10,931,155\,23\,525\,96\,53
0.927244000,192.168.1.10,192.168.1.12,112,53
0.927513000,192.168.1.10,192.168.1.12,779,720
0.929367000,192.168.1.12,192.168.1.10,60,
0.931228000,192.168.1.12,192.168.1.10,212,74\,74
